# Error Accuracy Circuit_Size
0.001 0.4794921875 16.0
0.010080808080808083 0.3564453125 13.0
0.019161616161616164 0.3720703125 12.0
0.028242424242424246 0.34765625 11.0
0.05548484848484849 0.2998046875 10.0
0.1008888888888889 0.306640625 9.0
0.2007777777777778 0.2158203125 8.0
0.39147474747474753 0.1923828125 7.0
0.7728686868686869 0.279296875 6.0
